id,sector,region,nivel_educacion,tipo_negocio,estado_civil_inicio,edad_inicio,anos_primer_millon,anos_trayectoria_total,capital_inicial_usd,patrimonio_m_usd,roi_anualizado_pct,horas_sem_pico,sacrificio_familia,sacrificio_salud,sacrificio_amor_pareja,sacrificio_amigos,sacrificio_ocio_hobbies,sacrificio_sueno,sacrificio_total,score_disciplina,score_conocimiento,score_red_contactos,score_vision,score_resiliencia,divorcios_num,hijos_num,sueno_horas_noche,ejercicio_dias_sem,empleos_generados,score_exito,bienestar_psicologico,satisfaccion_vida,attr_disciplina_pct,attr_oportunidad_pct,attr_conocimiento_pct,attr_red_pct,attr_trabajo_duro_pct,attr_vision_pct,attr_suerte_pct,attr_capital_inicial_pct
SUJ-0765,Tecnología,Santiago,Doctorado,Empresa propia,Unión libre,22,15,23,500,78.14,68.1,73,8.8,7.9,7.4,3.9,8.2,7.7,7.32,7.4,10,3.5,7.2,7.2,2,0,5.6,5.5,29,48.9,35,46,33.2,23.0,10.9,4.5,15.1,11.2,0.0,2.1
SUJ-0766,Manufactura,Lima,Universitario,Empresa propia,Casado,24,4,15,2484,1.28,12.0,100,10.0,10.0,7.2,7.1,8.4,9.3,8.67,4.1,23,9.3,5.8,7.0,0,3,5.5,2.4,38,26.0,35,58,23.6,19.2,14.7,12.5,9.1,15.3,4.8,0.8
SUJ-0767,Inmuebles,Monterrey,Posgrado,E-commerce,Casado,36,10,18,2683,1.22,20.9,48,6.5,5.5,4.5,5.0,7.6,6.6,5.95,8.5,9,6.3,10.0,8.2,3,4,7.4,2.4,17,25.7,65,54,26.4,17.8,25.7,9.7,11.7,1.0,5.8,1.9
SUJ-0768,Servicios,Cali,Universitario,Empresa familiar,Soltero,34,8,13,7993,4.95,32.9,77,7.6,5.4,6.3,6.2,10.0,3.9,6.57,8.2,29,8.2,6.9,6.7,3,0,6.7,0.5,30,29.8,54,80,31.4,24.8,12.0,2.3,14.7,10.9,3.2,0.7
SUJ-0769,Finanzas,Cali,Bachillerato,Franquicia,Casado,25,10,15,8425,74.18,83.0,78,7.9,7.4,8.4,6.6,9.5,5.7,7.58,7.0,25,1.6,7.2,8.2,1,2,4.0,2.1,74,50.3,23,57,18.5,25.6,13.4,17.4,11.6,11.8,1.4,0.3
SUJ-0770,Servicios,Lima,Universitario,Franquicia,Soltero,22,5,12,1848,2.38,54.8,65,5.7,6.0,7.9,4.7,8.0,4.9,6.2,7.2,22,3.4,6.5,9.1,1,6,5.6,4.2,4,22.0,58,62,26.5,25.0,12.0,8.0,15.6,7.9,4.8,0.2
SUJ-0771,Tecnología,Bucaramanga,Maestría,Empresa familiar,Soltero,17,1,2,1947,2.29,62.6,50,6.6,6.5,5.2,3.4,6.6,6.8,5.85,9.4,17,0.2,8.0,6.7,1,2,6.2,1.4,17,27.3,44,71,28.3,12.3,19.4,17.1,8.9,7.2,5.6,1.2
SUJ-0772,Servicios,Buenos Aires,Posgrado,Holding,Casado,20,4,13,21072,1.11,17.2,70,7.7,7.2,7.3,6.0,8.0,8.1,7.38,7.4,29,4.5,6.1,7.0,2,2,3.0,3.0,24,19.3,49,49,32.6,14.9,23.0,5.5,8.0,6.8,7.0,2.2
SUJ-0773,Tecnología,São Paulo,Maestría,Holding,Soltero,17,6,6,11294,1.27,44.9,56,6.9,3.7,5.9,0.7,8.4,6.1,5.28,6.9,25,8.0,8.1,5.7,1,3,5.2,2.1,7,27.4,65,53,28.1,15.7,18.8,12.6,16.4,3.2,4.2,1.0
SUJ-0774,Finanzas,CDMX,Universitario,E-commerce,Casado,30,9,19,21777,23.25,42.7,80,6.1,8.3,10.0,6.8,8.2,9.7,8.18,4.2,8,6.6,7.5,7.8,3,1,4.7,1.6,10,35.0,46,44,30.4,9.2,16.2,15.7,11.4,8.4,7.1,1.6
SUJ-0775,Inmuebles,Bucaramanga,Técnico,Empresa familiar,Casado,34,7,15,14159,6.09,7.3,54,7.2,4.9,2.6,5.9,4.8,7.0,5.4,8.6,22,6.5,7.9,7.9,1,0,6.4,2.3,8,24.8,59,60,22.3,15.9,14.2,14.5,14.6,8.7,7.8,2.0
SUJ-0776,Tecnología,Lima,Doctorado,Holding,Soltero,23,8,21,4114,103.41,62.0,72,7.4,8.0,5.7,6.6,8.5,8.2,7.4,7.6,13,9.7,6.9,5.7,2,0,5.8,1.8,60,56.5,38,45,23.6,17.7,22.1,5.6,17.1,8.0,4.6,1.3
SUJ-0777,Finanzas,Buenos Aires,Universitario,Startup escalada,Casado,28,13,20,1040,31.01,66.6,62,4.5,3.5,6.0,5.0,8.4,5.3,5.45,7.7,24,6.9,8.6,8.5,1,5,5.3,3.2,25,48.5,64,66,28.2,17.8,15.3,18.5,8.2,4.6,4.6,2.8
SUJ-0778,Inmuebles,Buenos Aires,Posgrado,Holding,Unión libre,19,7,15,7944,3.41,29.8,87,7.1,8.0,8.8,8.1,9.5,9.2,8.45,8.4,22,6.1,8.2,6.8,3,2,4.7,1.1,5,25.8,54,60,20.8,9.4,18.9,17.1,16.3,8.0,6.4,3.1
SUJ-0779,Inmuebles,Barranquilla,Maestría,Holding,Soltero,17,5,13,3470,5.7,61.0,93,8.6,7.3,8.1,8.5,10.0,10.0,8.75,8.0,24,3.0,8.9,5.8,3,4,4.6,4.0,15,36.2,24,61,38.9,13.2,18.5,8.2,8.5,5.9,5.8,1.0
SUJ-0780,Manufactura,Medellín,Universitario,Empresa propia,Casado,26,8,11,4432,4.51,63.0,67,6.3,6.0,4.5,3.4,9.6,8.5,6.38,5.5,28,8.4,6.2,8.0,2,2,5.7,0.1,29,29.0,41,58,33.0,20.2,7.8,12.2,13.1,7.3,5.0,1.4
SUJ-0781,Manufactura,Cali,Maestría,Empresa propia,Soltero,28,1,3,4439,6.31,37.2,58,6.5,4.4,7.1,4.3,7.3,6.5,6.02,6.6,11,10.0,8.6,7.6,2,4,4.6,0.8,139,35.9,51,50,27.5,14.5,17.9,10.4,15.1,8.6,3.4,2.6
SUJ-0782,Retail/Comercio,Lima,Técnico,Startup escalada,Soltero,36,1,4,22056,1.0,19.0,95,9.8,8.5,10.0,7.3,10.0,8.3,8.98,7.8,23,1.8,10.0,8.4,1,2,5.0,2.7,109,25.3,32,58,16.9,16.4,19.0,21.7,15.3,6.3,3.2,1.2
SUJ-0783,Finanzas,São Paulo,Universitario,Empresa propia,Soltero,38,6,12,570,1.5,36.1,70,7.1,4.9,4.9,5.8,5.6,6.9,5.87,7.5,33,6.7,7.6,6.3,2,2,3.9,2.8,55,26.6,45,59,32.4,18.1,12.8,10.1,9.8,12.0,2.5,2.3
SUJ-0784,Finanzas,CDMX,Técnico,E-commerce,Soltero,24,3,9,1716,4.68,58.9,77,7.4,4.6,8.1,6.7,7.6,8.9,7.22,4.6,30,5.0,9.4,6.4,2,4,4.6,3.3,197,39.6,51,48,27.5,16.2,19.8,11.3,9.2,9.4,3.4,3.2
SUJ-0785,Tecnología,Medellín,Maestría,Empresa propia,Soltero,31,4,10,7490,6.9,67.1,71,7.7,5.2,8.7,6.3,9.1,7.6,7.43,6.4,17,3.1,6.6,7.9,1,1,4.2,4.0,12,32.3,50,69,19.0,14.1,27.2,16.8,9.8,3.0,6.9,3.2
SUJ-0786,Servicios,Monterrey,Universitario,Startup escalada,Unión libre,27,10,18,17216,1.08,12.9,70,7.4,5.1,7.7,5.8,8.8,6.0,6.8,9.2,24,4.4,8.6,5.9,2,3,4.8,3.4,11,17.1,45,65,29.1,13.0,11.7,21.8,14.4,3.0,3.8,3.2
SUJ-0787,Manufactura,Santiago,Maestría,Empresa propia,Casado,26,9,12,20002,2.69,8.6,66,8.5,5.4,8.2,6.1,7.0,7.1,7.05,2.2,15,4.9,7.9,9.6,5,2,4.6,1.6,78,23.6,54,38,28.2,14.9,13.0,22.7,11.8,7.3,0.9,1.2
SUJ-0788,Retail/Comercio,Barranquilla,Doctorado,Startup escalada,Soltero,25,6,15,6544,1.0,4.4,47,4.6,5.4,4.8,3.8,5.9,3.4,4.65,3.6,29,5.0,8.3,10.0,1,0,3.8,0.9,8,15.9,82,46,38.6,5.0,13.5,12.4,26.8,1.3,0.2,2.2
SUJ-0789,Retail/Comercio,Santiago,Posgrado,E-commerce,Soltero,25,7,15,500,5.71,13.8,96,9.3,6.7,7.8,9.0,10.0,9.4,8.7,7.1,15,4.8,6.5,3.9,0,2,4.0,2.7,13,21.9,30,40,32.8,8.7,21.4,16.3,8.8,5.2,3.1,3.7
SUJ-0790,Agroindustria,Medellín,Posgrado,Empresa propia,Casado,25,5,17,3606,3.96,13.4,75,9.7,7.5,9.3,8.3,9.9,10.0,9.12,7.7,7,6.2,9.3,9.1,2,1,3.7,2.7,187,38.2,14,49,29.3,13.8,16.8,8.2,15.7,9.7,4.9,1.6
SUJ-0791,Tecnología,Medellín,Universitario,E-commerce,Soltero,35,10,18,20090,221.85,67.7,71,6.5,6.9,7.7,7.3,5.6,8.2,7.03,7.1,30,4.5,6.1,5.9,1,1,5.3,4.4,7,44.7,44,52,30.5,18.6,8.1,14.2,9.5,12.5,4.4,2.2
SUJ-0792,Manufactura,Santiago,Universitario,Empresa propia,Soltero,27,10,16,5544,3.0,16.8,85,8.1,8.5,8.4,7.5,8.9,7.8,8.2,8.7,41,7.7,7.4,8.5,4,2,5.3,3.9,35,33.0,48,56,26.1,19.8,16.6,9.8,14.4,7.0,3.6,2.7
SUJ-0793,Retail/Comercio,Caracas,Universitario,Empresa propia,Soltero,36,10,24,10374,2.16,4.0,65,5.8,5.3,7.0,5.7,7.5,10.0,6.88,10.0,32,4.3,7.2,6.9,2,2,4.2,3.1,7,23.2,41,69,21.8,24.7,22.2,5.8,9.6,9.7,5.0,1.2
SUJ-0794,Manufactura,CDMX,Posgrado,Empresa propia,Soltero,20,10,16,2508,1.0,15.6,77,6.3,8.6,5.5,6.0,9.6,6.5,7.08,8.7,35,5.8,6.9,8.5,1,2,5.1,0.7,19,21.2,35,52,38.4,14.2,16.4,16.9,7.7,1.7,2.2,2.5
SUJ-0795,Tecnología,CDMX,Doctorado,Empresa propia,Soltero,17,7,14,500,6.83,47.7,62,7.0,5.2,5.5,5.9,7.9,5.0,6.08,4.6,11,10.0,6.4,7.0,2,2,3.9,3.1,7,31.2,64,57,29.4,7.2,12.9,6.9,20.5,12.5,6.3,4.3
SUJ-0796,Servicios,Bogotá,Doctorado,Empresa familiar,Casado,23,4,12,6908,1.0,17.1,68,8.6,7.1,7.2,5.8,9.1,5.9,7.28,6.1,33,4.9,7.9,7.5,2,1,4.9,2.1,10,24.5,36,65,27.1,10.4,23.1,12.9,12.8,6.1,4.1,3.5
SUJ-0797,Agroindustria,São Paulo,Maestría,Empresa propia,Casado,20,6,15,14413,1.92,4.0,80,10.0,9.0,10.0,7.6,9.2,7.1,8.82,7.5,32,3.9,5.6,4.7,3,3,4.6,3.8,4,17.2,30,54,15.7,28.3,14.9,13.7,11.7,7.1,7.2,1.4
SUJ-0798,Manufactura,Monterrey,Maestría,Holding,Soltero,17,7,13,37059,3.02,20.0,76,7.7,8.1,6.0,5.4,8.8,9.3,7.55,4.9,28,3.3,8.6,10.0,0,1,5.4,2.2,26,26.8,61,54,23.2,20.9,17.4,13.5,10.7,8.9,5.1,0.3
SUJ-0799,Manufactura,CDMX,Universitario,Empresa propia,Soltero,33,4,20,14999,25.2,43.3,68,8.0,5.8,5.9,6.9,8.5,6.9,7.0,8.1,8,3.2,6.9,5.7,2,0,5.5,0.9,10,37.9,47,60,31.8,23.8,14.0,11.2,1.8,7.9,6.8,2.7
SUJ-0800,Agroindustria,São Paulo,Posgrado,Holding,Soltero,17,13,17,6459,1.0,12.8,82,8.8,5.5,8.8,6.8,8.4,6.9,7.53,8.3,33,3.9,8.1,7.0,1,3,7.0,1.2,2,18.8,47,62,26.3,18.6,15.6,16.2,8.1,11.4,2.3,1.5
SUJ-0801,Inmuebles,Monterrey,Maestría,Empresa propia,Unión libre,29,13,24,7506,3.76,22.3,62,6.4,4.3,3.1,5.8,7.8,5.4,5.47,4.2,30,4.0,7.9,9.2,3,1,3.7,1.8,213,40.1,58,52,30.9,19.2,11.9,12.9,9.4,4.9,8.0,2.8
SUJ-0802,Tecnología,Monterrey,Universitario,Holding,Casado,38,6,7,13905,1.0,41.6,60,7.9,4.1,6.0,4.6,9.0,7.6,6.53,7.6,22,8.6,6.1,10.0,4,3,6.2,0.3,22,26.0,46,66,27.0,25.8,14.0,3.9,14.1,9.8,4.0,1.4
SUJ-0803,Manufactura,Medellín,Doctorado,Holding,Casado,19,11,14,500,5.2,26.9,66,6.9,4.9,5.0,5.2,5.5,6.4,5.65,7.9,18,0.0,8.8,10.0,1,2,5.3,0.0,9,27.0,54,57,21.4,17.2,14.4,16.5,14.4,9.3,4.4,2.4
SUJ-0804,Manufactura,Monterrey,Universitario,Holding,Unión libre,24,9,10,24233,1.0,4.0,69,8.4,6.0,10.0,6.5,8.4,6.0,7.55,5.5,32,4.3,10.0,4.2,1,0,6.1,4.8,41,20.4,39,58,21.7,13.2,17.6,18.8,11.7,11.9,2.5,2.6
SUJ-0805,Retail/Comercio,Barranquilla,Posgrado,Empresa propia,Soltero,34,5,8,6060,3.84,12.5,68,6.7,6.8,8.0,7.3,5.3,5.9,6.67,7.0,9,9.3,8.9,9.1,2,2,5.5,2.7,41,31.4,50,71,19.9,16.5,19.2,15.3,14.9,9.3,4.9,-0.0
SUJ-0806,Inmuebles,Santiago,Maestría,Holding,Unión libre,23,8,8,24301,3.3,47.4,67,5.7,6.9,5.5,2.9,8.6,7.0,6.1,8.2,17,4.1,5.4,8.2,3,2,5.6,1.4,17,25.6,62,61,33.4,8.4,15.4,12.5,12.9,9.2,5.4,2.8
SUJ-0807,Agroindustria,Caracas,Doctorado,Empresa propia,Soltero,27,4,10,11568,1.0,28.7,84,7.0,8.3,8.2,6.4,9.4,7.4,7.78,6.5,40,6.6,8.3,8.8,2,2,4.5,3.0,143,29.7,40,44,22.9,17.2,26.0,2.0,13.7,11.2,3.7,3.3
SUJ-0808,Agroindustria,Bogotá,Universitario,Empresa propia,Soltero,29,3,6,1321,1.0,11.7,93,7.1,8.9,7.4,5.2,10.0,8.9,7.92,9.0,13,7.6,6.3,6.4,2,1,4.6,0.0,80,20.7,47,73,23.0,16.2,16.2,16.6,13.3,6.2,5.5,3.0
SUJ-0809,Retail/Comercio,Lima,Maestría,Franquicia,Casado,27,9,20,1445,1.54,35.2,71,8.8,6.0,5.7,5.3,7.2,6.7,6.62,5.8,39,0.8,4.9,8.5,1,3,6.9,0.8,5,22.6,58,40,25.3,2.6,25.8,9.7,13.8,12.4,9.3,1.1
SUJ-0810,Tecnología,Bucaramanga,Posgrado,Franquicia,Soltero,23,9,17,3491,7.54,39.5,80,9.8,7.6,6.0,7.2,8.3,7.7,7.77,7.0,18,10.0,7.1,8.8,0,1,5.2,0.1,74,36.1,47,75,26.1,23.0,19.7,6.9,14.3,4.6,3.0,2.4
SUJ-0811,Salud/Farma,Bogotá,Universitario,Franquicia,Casado,21,17,23,2452,2.01,13.7,62,5.8,5.2,5.5,6.0,8.4,7.1,6.33,6.9,16,0.3,6.3,8.1,3,1,5.9,0.6,2,17.2,47,64,28.5,22.6,12.6,15.8,8.3,8.8,0.2,3.2
SUJ-0812,Servicios,Barranquilla,Maestría,Holding,Soltero,19,6,13,4628,7.36,8.8,71,6.2,6.6,7.7,7.4,9.4,5.9,7.2,7.1,32,1.9,7.8,9.6,5,1,4.9,2.8,12,24.3,53,73,15.6,27.1,23.0,13.4,7.5,7.5,2.8,3.1
SUJ-0813,Tecnología,Bogotá,Posgrado,Empresa propia,Casado,29,5,13,7408,1.0,30.4,79,7.0,6.4,9.4,6.4,7.6,8.6,7.57,7.8,28,5.1,9.1,6.9,2,3,4.9,2.2,34,32.1,30,68,22.3,13.8,15.4,22.3,13.6,4.7,6.1,1.8
SUJ-0814,Agroindustria,Monterrey,Posgrado,Empresa propia,Soltero,22,10,20,4589,1.0,18.0,61,6.7,5.4,4.9,2.8,6.7,4.4,5.15,6.1,42,5.7,7.6,8.6,1,4,5.1,2.2,21,19.1,59,55,35.2,21.7,9.5,16.3,5.5,6.0,4.5,1.3
SUJ-0815,Servicios,Medellín,Universitario,Empresa propia,Soltero,33,7,11,500,8.93,50.0,82,7.3,6.5,6.6,6.6,7.9,9.3,7.37,6.4,19,8.6,8.1,6.8,1,1,4.6,0.9,47,38.6,40,54,40.9,13.7,12.5,14.1,11.8,5.5,0.1,1.4
SUJ-0816,Retail/Comercio,Bucaramanga,Universitario,Holding,Unión libre,35,4,8,29715,3.9,4.0,62,7.4,3.2,9.6,6.5,8.3,6.2,6.87,5.8,16,8.1,6.2,8.1,3,3,5.7,1.7,8,21.3,61,57,24.8,16.4,13.4,10.8,17.2,12.1,3.8,1.5
SUJ-0817,Manufactura,CDMX,Posgrado,E-commerce,Unión libre,19,4,11,4428,4.93,48.4,86,8.3,6.9,8.4,7.9,9.8,9.4,8.45,7.6,24,4.5,8.6,6.8,1,2,5.4,4.0,16,32.0,49,62,31.4,19.9,11.4,17.0,13.8,3.2,1.9,1.4
SUJ-0818,Finanzas,Medellín,Universitario,Empresa propia,Unión libre,30,6,17,15234,7.5,10.1,84,9.8,7.9,7.7,7.4,9.9,8.8,8.58,8.4,19,7.7,8.5,7.9,2,3,5.8,1.7,3,27.0,40,55,20.9,27.8,19.3,10.6,9.2,7.0,2.9,2.3
SUJ-0819,Tecnología,Monterrey,Universitario,Holding,Casado,38,11,12,614,12.67,59.4,87,9.7,8.5,7.2,6.3,9.5,10.0,8.53,7.0,31,9.1,8.6,9.3,2,1,4.7,3.6,9,36.8,30,57,31.9,13.3,17.9,19.8,10.0,3.4,2.4,1.3
SUJ-0820,Finanzas,Monterrey,Doctorado,E-commerce,Casado,20,8,15,13288,1.0,22.1,86,7.1,7.9,7.3,8.3,7.0,8.6,7.7,6.2,28,9.1,6.8,7.8,1,1,3.6,3.1,2,20.5,41,57,41.6,11.1,11.2,15.3,7.5,8.8,4.0,0.5
SUJ-0821,Inmuebles,Bucaramanga,Posgrado,Franquicia,Casado,33,4,15,1523,1.0,38.9,98,7.9,6.8,9.2,7.5,9.5,10.0,8.48,6.3,25,6.7,8.2,5.7,1,2,6.4,1.6,6,23.2,35,64,24.8,16.5,19.7,18.6,13.4,6.1,0.9,-0.0
SUJ-0822,Tecnología,Bucaramanga,Maestría,E-commerce,Soltero,29,14,22,9100,18.08,41.0,79,8.5,6.1,9.3,4.4,8.5,8.7,7.58,8.3,44,5.3,10.0,6.9,2,1,3.2,1.8,70,39.7,51,55,23.8,26.0,19.4,13.0,9.0,3.3,4.0,1.5
SUJ-0823,Finanzas,Cali,Universitario,Holding,Soltero,31,3,10,8673,5.97,58.2,53,5.8,2.8,4.2,3.7,5.1,4.4,4.33,4.2,1,6.0,6.9,9.0,0,2,4.9,1.3,13,31.4,71,40,27.3,20.2,14.5,13.3,13.0,6.1,1.6,4.0
SUJ-0824,Finanzas,Buenos Aires,Universitario,Holding,Soltero,21,4,12,19246,2.14,36.8,74,9.1,7.3,7.0,6.3,6.0,8.7,7.4,7.0,19,10.0,7.6,8.3,1,2,5.0,0.5,22,24.2,45,48,27.0,21.5,15.8,17.8,5.8,7.5,2.3,2.3
SUJ-0825,Retail/Comercio,Buenos Aires,Universitario,Empresa propia,Unión libre,37,11,23,3093,5.94,35.3,66,7.5,4.7,9.3,3.9,8.7,7.1,6.87,6.1,21,6.0,7.8,8.6,0,2,6.5,1.8,26,32.9,43,58,19.5,18.6,19.5,11.5,12.9,10.5,5.9,1.6
SUJ-0826,Agroindustria,São Paulo,Universitario,Empresa propia,Soltero,21,12,21,922,5.82,16.3,54,5.6,5.5,3.7,3.8,5.7,5.5,4.97,6.1,33,4.9,7.6,4.8,1,3,6.8,2.8,2,25.7,59,66,25.4,10.8,22.2,18.7,8.5,6.9,4.8,2.7
SUJ-0827,Finanzas,Caracas,Posgrado,Empresa propia,Unión libre,29,8,9,15994,4.9,65.0,90,10.0,8.1,10.0,5.7,10.0,9.0,8.8,8.5,29,5.3,5.9,5.8,0,2,6.0,2.5,9,28.7,24,60,37.6,15.5,12.2,18.5,8.8,5.5,1.1,0.8
SUJ-0828,Finanzas,Medellín,Posgrado,Holding,Casado,25,2,8,3222,1.0,45.4,68,6.5,4.8,9.8,5.9,9.3,6.1,7.07,7.2,14,8.3,6.6,10.0,3,0,4.9,4.7,10,24.5,55,50,23.3,23.2,22.3,9.0,13.8,7.8,0.6,-0.0
SUJ-0829,Inmuebles,CDMX,Universitario,Startup escalada,Casado,29,7,13,2117,1.87,34.6,52,4.2,5.2,5.8,3.5,5.8,9.0,5.58,6.1,11,6.8,8.5,10.0,0,0,4.5,3.7,2,24.3,55,55,29.5,23.7,14.9,16.2,5.9,7.0,1.6,1.2
SUJ-0830,Retail/Comercio,Bogotá,Técnico,Franquicia,Soltero,20,2,12,5327,1.0,29.2,64,6.5,8.0,8.4,6.0,7.4,6.4,7.12,7.9,15,8.8,6.3,8.5,2,4,5.8,2.3,8,20.8,42,62,21.0,18.2,9.1,23.4,19.2,5.9,0.3,2.9
SUJ-0831,Finanzas,Monterrey,Universitario,Empresa propia,Soltero,18,16,22,1263,42.69,60.3,103,9.3,8.0,6.8,7.7,10.0,8.8,8.43,8.1,19,4.6,7.9,9.3,2,0,4.3,3.0,4,46.5,43,43,30.9,17.0,12.4,17.5,13.9,2.3,2.6,3.4
SUJ-0832,Retail/Comercio,Monterrey,Técnico,Startup escalada,Unión libre,27,8,14,2818,1.1,41.4,91,10.0,9.0,8.2,4.2,9.4,6.4,7.87,9.1,36,2.7,7.4,4.8,1,0,5.3,2.8,13,24.5,43,63,36.3,13.2,11.2,16.5,12.7,7.2,1.8,1.1
SUJ-0833,Tecnología,Cali,Técnico,Startup escalada,Soltero,23,10,16,3892,3.48,52.9,82,6.9,7.3,9.5,6.3,9.2,9.2,8.07,7.6,28,8.1,8.8,8.4,0,1,5.6,0.3,25,36.8,34,52,26.5,18.2,15.8,9.3,13.2,9.6,5.5,1.9
SUJ-0834,Tecnología,Medellín,Doctorado,Startup escalada,Soltero,23,5,12,2597,5.08,28.1,81,9.3,7.3,5.9,5.0,9.8,8.4,7.62,6.6,11,6.7,8.2,3.9,2,2,5.0,2.2,22,30.3,32,60,33.1,13.5,19.0,16.0,6.6,8.7,1.5,1.6
SUJ-0835,Retail/Comercio,Caracas,Posgrado,E-commerce,Soltero,29,14,20,4786,10.53,14.7,60,6.4,5.3,8.1,5.6,5.2,6.4,6.17,9.8,18,4.3,7.3,9.7,0,2,4.9,3.3,59,35.3,55,65,32.1,13.2,19.4,18.2,5.8,6.4,3.6,1.3
SUJ-0836,Retail/Comercio,Medellín,Posgrado,Startup escalada,Soltero,17,5,10,3884,10.09,39.3,59,4.7,6.5,9.8,4.2,9.0,7.0,6.87,9.6,34,9.1,7.9,9.2,0,4,5.7,3.9,4,35.5,40,66,15.7,22.7,16.9,14.3,12.9,8.6,5.8,3.1
SUJ-0837,Agroindustria,Santiago,Universitario,Empresa propia,Soltero,33,3,8,11918,1.08,4.0,80,8.5,6.6,6.8,7.4,9.2,8.8,7.88,10.0,20,7.7,8.9,6.1,2,1,5.8,2.8,51,17.1,40,71,20.2,21.9,18.3,9.2,6.3,17.8,4.1,2.2
SUJ-0838,Finanzas,São Paulo,Maestría,Empresa propia,Casado,26,8,15,20048,7.73,37.7,94,10.0,8.6,9.9,8.7,10.0,10.0,9.53,9.1,33,3.1,6.6,7.2,0,2,5.2,3.4,28,27.5,42,59,20.2,28.9,6.6,15.4,15.9,7.9,0.9,4.2
SUJ-0839,Manufactura,Bucaramanga,Posgrado,Empresa propia,Soltero,30,10,18,851,3.42,16.2,59,6.6,6.5,7.6,3.9,7.2,5.9,6.28,8.4,25,5.6,9.3,9.2,1,2,6.6,2.7,13,31.6,45,64,33.7,19.3,12.5,5.9,15.8,7.7,3.2,1.9
SUJ-0840,Manufactura,CDMX,Maestría,Holding,Casado,29,15,31,13866,10.63,21.5,71,7.3,7.5,9.4,6.9,10.0,5.3,7.73,3.8,28,4.6,9.1,6.9,0,0,4.1,3.7,20,30.5,33,48,35.1,16.1,16.2,8.5,9.8,9.5,4.6,0.2
SUJ-0841,Tecnología,Caracas,Universitario,Empresa propia,Soltero,29,13,14,21479,10.39,47.1,75,10.0,7.2,5.8,4.8,7.0,6.6,6.9,9.8,41,7.3,5.2,5.6,1,1,4.6,1.7,26,35.4,51,65,20.0,18.9,13.3,16.8,18.1,7.5,3.0,2.4
SUJ-0842,Manufactura,Bucaramanga,Doctorado,E-commerce,Casado,18,11,19,9282,12.44,25.2,66,8.6,6.8,5.8,5.2,8.3,7.3,7.0,7.4,21,5.3,6.0,10.0,1,2,5.9,0.0,5,31.8,51,64,27.7,13.3,11.9,18.3,14.4,9.1,3.2,2.1
SUJ-0843,Tecnología,CDMX,Maestría,Franquicia,Casado,32,4,15,45058,5.79,37.4,70,8.3,6.1,8.0,5.3,9.4,6.9,7.33,7.1,12,4.3,5.6,9.2,3,4,5.1,3.8,3,22.5,52,63,27.2,21.9,6.9,16.4,10.7,9.8,5.5,1.6
SUJ-0844,Salud/Farma,Barranquilla,Maestría,Empresa propia,Soltero,27,4,7,3264,4.41,14.4,58,4.0,4.7,6.3,4.1,8.3,7.3,5.78,8.1,16,6.8,8.7,8.5,2,1,5.0,4.5,6,24.7,71,67,20.0,26.3,19.6,11.8,9.2,5.5,5.2,2.4
SUJ-0845,Tecnología,Lima,Técnico,Startup escalada,Soltero,23,3,11,14190,11.65,77.2,76,7.1,6.9,10.0,6.4,9.5,8.9,8.13,6.4,22,9.4,7.2,8.2,2,0,3.6,4.5,20,41.0,43,47,16.7,24.8,21.5,12.4,11.6,9.7,3.1,0.2
SUJ-0846,Retail/Comercio,São Paulo,Universitario,Empresa propia,Soltero,25,6,11,8959,1.69,48.0,75,7.4,6.9,7.0,7.4,8.0,7.4,7.35,9.0,22,6.2,7.2,8.6,2,1,4.1,1.0,15,25.6,42,68,27.1,21.1,14.6,17.0,4.7,10.7,2.8,2.0
SUJ-0847,Tecnología,Buenos Aires,Universitario,Empresa propia,Casado,28,1,5,3125,1.53,59.5,81,8.7,7.3,7.3,6.9,9.7,7.1,7.83,5.0,16,6.5,9.0,7.4,1,1,6.5,3.2,50,31.3,50,43,27.9,19.6,20.8,14.9,9.8,5.0,0.1,1.9
SUJ-0848,Salud/Farma,São Paulo,Universitario,Startup escalada,Casado,27,12,15,9757,1.48,35.2,70,8.3,7.5,7.6,5.5,9.0,6.6,7.42,8.9,36,4.0,7.5,7.3,0,1,5.1,0.0,3,26.4,46,61,24.5,28.2,12.0,12.0,12.0,8.1,0.1,3.1
SUJ-0849,Retail/Comercio,Buenos Aires,Maestría,Empresa propia,Unión libre,29,3,9,5700,7.4,32.0,82,7.1,7.0,8.4,4.6,9.3,8.2,7.43,8.2,23,4.4,8.4,7.7,0,6,5.4,3.1,7,30.1,48,62,26.2,19.3,18.9,15.5,8.5,6.2,4.0,1.4
SUJ-0850,Manufactura,CDMX,Bachillerato,Holding,Soltero,35,2,8,1675,6.35,23.8,77,8.7,4.8,7.4,2.7,7.9,8.1,6.6,7.4,29,7.6,6.0,9.2,0,2,6.6,4.9,43,30.1,41,70,41.1,11.7,11.2,11.4,9.9,9.3,3.0,2.4
SUJ-0851,Tecnología,Buenos Aires,Bachillerato,Startup escalada,Soltero,19,5,14,1528,3.03,40.0,89,7.4,4.8,7.2,6.4,9.5,10.0,7.55,9.4,8,6.3,7.1,7.4,3,1,5.5,4.1,6,25.8,44,64,32.2,12.5,21.4,12.4,7.2,7.0,4.2,3.1
