var_a,var_b,r,r2,p,sig,ci95_lo,ci95_hi,fuerza,dir
empleos_generados,attr_trabajo_duro_pct,-0.0129,0.0002,0.360518,False,-0.0406,0.0148,Muy débil,−
sacrificio_ocio_hobbies,divorcios_num,0.0128,0.0002,0.363975,False,-0.0149,0.0405,Muy débil,+
patrimonio_m_usd,score_vision,-0.0128,0.0002,0.365843,False,-0.0405,0.0149,Muy débil,−
anos_trayectoria_total,attr_red_pct,0.0127,0.0002,0.369748,False,-0.015,0.0404,Muy débil,+
anos_trayectoria_total,score_disciplina,0.0127,0.0002,0.36747,False,-0.015,0.0405,Muy débil,+
roi_anualizado_pct,attr_vision_pct,-0.0127,0.0002,0.370158,False,-0.0404,0.015,Muy débil,−
score_resiliencia,ejercicio_dias_sem,-0.0127,0.0002,0.371046,False,-0.0404,0.0151,Muy débil,−
roi_anualizado_pct,sacrificio_total,0.0126,0.0002,0.37437,False,-0.0152,0.0403,Muy débil,+
hijos_num,attr_capital_inicial_pct,-0.0126,0.0002,0.37179,False,-0.0403,0.0151,Muy débil,−
capital_inicial_usd,attr_capital_inicial_pct,0.0126,0.0002,0.374266,False,-0.0152,0.0403,Muy débil,+
roi_anualizado_pct,ejercicio_dias_sem,-0.0126,0.0002,0.373358,False,-0.0403,0.0151,Muy débil,−
capital_inicial_usd,attr_vision_pct,-0.0124,0.0002,0.380291,False,-0.0401,0.0153,Muy débil,−
score_vision,attr_capital_inicial_pct,-0.0124,0.0002,0.382473,False,-0.0401,0.0154,Muy débil,−
sueno_horas_noche,attr_suerte_pct,-0.0123,0.0002,0.385223,False,-0.04,0.0154,Muy débil,−
score_red_contactos,sueno_horas_noche,-0.0123,0.0002,0.38555,False,-0.04,0.0155,Muy débil,−
patrimonio_m_usd,sueno_horas_noche,0.0123,0.0002,0.385929,False,-0.0155,0.04,Muy débil,+
roi_anualizado_pct,score_conocimiento,-0.0121,0.0001,0.394129,False,-0.0398,0.0157,Muy débil,−
score_vision,ejercicio_dias_sem,-0.012,0.0001,0.396422,False,-0.0397,0.0157,Muy débil,−
capital_inicial_usd,sacrificio_familia,0.012,0.0001,0.395024,False,-0.0157,0.0397,Muy débil,+
roi_anualizado_pct,score_vision,0.012,0.0001,0.3962,False,-0.0157,0.0397,Muy débil,+
edad_inicio,attr_suerte_pct,-0.0119,0.0001,0.398965,False,-0.0396,0.0158,Muy débil,−
sacrificio_sueno,attr_capital_inicial_pct,-0.0118,0.0001,0.403106,False,-0.0395,0.0159,Muy débil,−
hijos_num,satisfaccion_vida,-0.0118,0.0001,0.402525,False,-0.0395,0.0159,Muy débil,−
capital_inicial_usd,score_vision,0.0118,0.0001,0.404624,False,-0.0159,0.0395,Muy débil,+
sacrificio_salud,attr_red_pct,0.0118,0.0001,0.403395,False,-0.0159,0.0395,Muy débil,+
sacrificio_amor_pareja,ejercicio_dias_sem,0.0117,0.0001,0.409754,False,-0.0161,0.0394,Muy débil,+
attr_suerte_pct,attr_capital_inicial_pct,0.0116,0.0001,0.411117,False,-0.0161,0.0393,Muy débil,+
divorcios_num,attr_capital_inicial_pct,-0.0116,0.0001,0.41059,False,-0.0393,0.0161,Muy débil,−
score_disciplina,attr_red_pct,-0.0115,0.0001,0.415518,False,-0.0392,0.0162,Muy débil,−
ejercicio_dias_sem,attr_red_pct,-0.0115,0.0001,0.414486,False,-0.0393,0.0162,Muy débil,−
sacrificio_ocio_hobbies,attr_conocimiento_pct,-0.0114,0.0001,0.421154,False,-0.0391,0.0163,Muy débil,−
roi_anualizado_pct,attr_suerte_pct,-0.0114,0.0001,0.422033,False,-0.0391,0.0164,Muy débil,−
anos_primer_millon,satisfaccion_vida,-0.0113,0.0001,0.426386,False,-0.039,0.0165,Muy débil,−
sacrificio_ocio_hobbies,attr_oportunidad_pct,0.0113,0.0001,0.426264,False,-0.0165,0.039,Muy débil,+
patrimonio_m_usd,attr_capital_inicial_pct,-0.0113,0.0001,0.425701,False,-0.039,0.0165,Muy débil,−
bienestar_psicologico,attr_suerte_pct,-0.0112,0.0001,0.427524,False,-0.0389,0.0165,Muy débil,−
sacrificio_amigos,sueno_horas_noche,-0.0111,0.0001,0.431771,False,-0.0388,0.0166,Muy débil,−
anos_primer_millon,empleos_generados,-0.0111,0.0001,0.431307,False,-0.0388,0.0166,Muy débil,−
edad_inicio,attr_vision_pct,0.0111,0.0001,0.432579,False,-0.0166,0.0388,Muy débil,+
edad_inicio,sueno_horas_noche,-0.0109,0.0001,0.441502,False,-0.0386,0.0168,Muy débil,−
sacrificio_salud,attr_conocimiento_pct,-0.0109,0.0001,0.442017,False,-0.0386,0.0169,Muy débil,−
empleos_generados,bienestar_psicologico,-0.0109,0.0001,0.440623,False,-0.0386,0.0168,Muy débil,−
capital_inicial_usd,sacrificio_amigos,0.0109,0.0001,0.43929,False,-0.0168,0.0386,Muy débil,+
score_disciplina,sueno_horas_noche,-0.0109,0.0001,0.440197,False,-0.0386,0.0168,Muy débil,−
score_disciplina,ejercicio_dias_sem,0.0109,0.0001,0.439275,False,-0.0168,0.0386,Muy débil,+
capital_inicial_usd,attr_oportunidad_pct,-0.0108,0.0001,0.443965,False,-0.0385,0.0169,Muy débil,−
satisfaccion_vida,attr_trabajo_duro_pct,0.0108,0.0001,0.446423,False,-0.017,0.0385,Muy débil,+
score_red_contactos,divorcios_num,0.0108,0.0001,0.444226,False,-0.0169,0.0385,Muy débil,+
hijos_num,sueno_horas_noche,-0.0107,0.0001,0.45103,False,-0.0384,0.0171,Muy débil,−
score_resiliencia,bienestar_psicologico,0.0107,0.0001,0.44911,False,-0.017,0.0384,Muy débil,+
divorcios_num,attr_suerte_pct,-0.0106,0.0001,0.455002,False,-0.0383,0.0172,Muy débil,−
sacrificio_amigos,score_red_contactos,0.0105,0.0001,0.458995,False,-0.0173,0.0382,Muy débil,+
score_red_contactos,hijos_num,0.0105,0.0001,0.457239,False,-0.0172,0.0382,Muy débil,+
score_vision,attr_vision_pct,-0.0105,0.0001,0.459437,False,-0.0382,0.0173,Muy débil,−
edad_inicio,anos_trayectoria_total,-0.0105,0.0001,0.458241,False,-0.0382,0.0172,Muy débil,−
sacrificio_amigos,score_vision,-0.0105,0.0001,0.459215,False,-0.0382,0.0173,Muy débil,−
sacrificio_total,score_red_contactos,0.0103,0.0001,0.465795,False,-0.0174,0.038,Muy débil,+
sacrificio_ocio_hobbies,score_conocimiento,0.0103,0.0001,0.467822,False,-0.0175,0.038,Muy débil,+
anos_trayectoria_total,attr_disciplina_pct,-0.0102,0.0001,0.471634,False,-0.0379,0.0175,Muy débil,−
score_resiliencia,attr_conocimiento_pct,-0.0101,0.0001,0.476087,False,-0.0378,0.0176,Muy débil,−
sueno_horas_noche,attr_capital_inicial_pct,-0.0101,0.0001,0.476636,False,-0.0378,0.0177,Muy débil,−
sacrificio_total,score_disciplina,-0.0101,0.0001,0.475532,False,-0.0378,0.0176,Muy débil,−
attr_vision_pct,attr_capital_inicial_pct,-0.01,0.0001,0.480185,False,-0.0377,0.0177,Muy débil,−
sacrificio_sueno,attr_conocimiento_pct,-0.0099,0.0001,0.484314,False,-0.0376,0.0178,Muy débil,−
sacrificio_ocio_hobbies,empleos_generados,0.0099,0.0001,0.483317,False,-0.0178,0.0376,Muy débil,+
edad_inicio,sacrificio_total,-0.0099,0.0001,0.483169,False,-0.0376,0.0178,Muy débil,−
score_conocimiento,attr_conocimiento_pct,-0.0098,0.0001,0.489579,False,-0.0375,0.018,Muy débil,−
anos_primer_millon,bienestar_psicologico,-0.0098,0.0001,0.48907,False,-0.0375,0.0179,Muy débil,−
sacrificio_amigos,attr_capital_inicial_pct,0.0096,0.0001,0.495241,False,-0.0181,0.0374,Muy débil,+
score_disciplina,attr_conocimiento_pct,0.0096,0.0001,0.49568,False,-0.0181,0.0373,Muy débil,+
anos_primer_millon,sueno_horas_noche,0.0095,0.0001,0.500563,False,-0.0182,0.0372,Muy débil,+
patrimonio_m_usd,sacrificio_amigos,0.0095,0.0001,0.503582,False,-0.0183,0.0372,Muy débil,+
patrimonio_m_usd,ejercicio_dias_sem,0.0095,0.0001,0.500452,False,-0.0182,0.0372,Muy débil,+
capital_inicial_usd,sacrificio_amor_pareja,-0.0095,0.0001,0.502379,False,-0.0372,0.0182,Muy débil,−
horas_sem_pico,hijos_num,0.0094,0.0001,0.506516,False,-0.0183,0.0371,Muy débil,+
roi_anualizado_pct,divorcios_num,-0.0094,0.0001,0.504529,False,-0.0372,0.0183,Muy débil,−
anos_trayectoria_total,horas_sem_pico,0.0093,0.0001,0.512177,False,-0.0185,0.037,Muy débil,+
horas_sem_pico,sueno_horas_noche,-0.0093,0.0001,0.511018,False,-0.037,0.0184,Muy débil,−
score_conocimiento,attr_trabajo_duro_pct,0.0092,0.0001,0.514716,False,-0.0185,0.0369,Muy débil,+
sacrificio_ocio_hobbies,attr_disciplina_pct,-0.0092,0.0001,0.513879,False,-0.0369,0.0185,Muy débil,−
horas_sem_pico,empleos_generados,0.0092,0.0001,0.513272,False,-0.0185,0.037,Muy débil,+
sacrificio_amigos,attr_vision_pct,0.0092,0.0001,0.513472,False,-0.0185,0.037,Muy débil,+
score_vision,attr_conocimiento_pct,0.0091,0.0001,0.520242,False,-0.0186,0.0368,Muy débil,+
score_red_contactos,attr_trabajo_duro_pct,0.0091,0.0001,0.521092,False,-0.0186,0.0368,Muy débil,+
sacrificio_salud,attr_vision_pct,0.0091,0.0001,0.520203,False,-0.0186,0.0368,Muy débil,+
horas_sem_pico,score_disciplina,-0.009,0.0001,0.525442,False,-0.0367,0.0187,Muy débil,−
anos_trayectoria_total,score_conocimiento,0.009,0.0001,0.524867,False,-0.0187,0.0367,Muy débil,+
score_exito,attr_capital_inicial_pct,-0.0089,0.0001,0.53034,False,-0.0366,0.0188,Muy débil,−
score_red_contactos,attr_capital_inicial_pct,0.0089,0.0001,0.529174,False,-0.0188,0.0366,Muy débil,+
score_conocimiento,ejercicio_dias_sem,-0.0088,0.0001,0.532433,False,-0.0365,0.0189,Muy débil,−
edad_inicio,divorcios_num,0.0088,0.0001,0.534719,False,-0.0189,0.0365,Muy débil,+
patrimonio_m_usd,sacrificio_total,0.0088,0.0001,0.533093,False,-0.0189,0.0365,Muy débil,+
horas_sem_pico,score_conocimiento,-0.0086,0.0001,0.545407,False,-0.0363,0.0192,Muy débil,−
capital_inicial_usd,sacrificio_ocio_hobbies,-0.0086,0.0001,0.541243,False,-0.0364,0.0191,Muy débil,−
sacrificio_total,attr_oportunidad_pct,0.0086,0.0001,0.541345,False,-0.0191,0.0364,Muy débil,+
sacrificio_familia,empleos_generados,-0.0085,0.0001,0.547129,False,-0.0362,0.0192,Muy débil,−
ejercicio_dias_sem,attr_capital_inicial_pct,0.0085,0.0001,0.547228,False,-0.0192,0.0362,Muy débil,+
sacrificio_sueno,hijos_num,0.0085,0.0001,0.547772,False,-0.0192,0.0362,Muy débil,+
edad_inicio,score_conocimiento,0.0085,0.0001,0.550228,False,-0.0193,0.0362,Muy débil,+
score_red_contactos,attr_vision_pct,0.0085,0.0001,0.549792,False,-0.0193,0.0362,Muy débil,+
capital_inicial_usd,horas_sem_pico,0.0085,0.0001,0.549566,False,-0.0193,0.0362,Muy débil,+
sacrificio_amor_pareja,score_red_contactos,0.0085,0.0001,0.547648,False,-0.0192,0.0362,Muy débil,+
sacrificio_sueno,divorcios_num,0.0084,0.0001,0.550852,False,-0.0193,0.0361,Muy débil,+
horas_sem_pico,attr_oportunidad_pct,0.0084,0.0001,0.554664,False,-0.0194,0.0361,Muy débil,+
score_resiliencia,empleos_generados,-0.0084,0.0001,0.554059,False,-0.0361,0.0194,Muy débil,−
score_red_contactos,score_exito,0.0083,0.0001,0.557107,False,-0.0194,0.036,Muy débil,+
hijos_num,attr_oportunidad_pct,-0.0083,0.0001,0.555649,False,-0.036,0.0194,Muy débil,−
divorcios_num,empleos_generados,0.0082,0.0001,0.563063,False,-0.0195,0.0359,Muy débil,+
ejercicio_dias_sem,bienestar_psicologico,-0.0082,0.0001,0.560218,False,-0.036,0.0195,Muy débil,−
patrimonio_m_usd,divorcios_num,0.0081,0.0001,0.566282,False,-0.0196,0.0358,Muy débil,+
sacrificio_sueno,attr_trabajo_duro_pct,-0.0081,0.0001,0.565353,False,-0.0358,0.0196,Muy débil,−
score_conocimiento,hijos_num,0.0081,0.0001,0.567948,False,-0.0196,0.0358,Muy débil,+
horas_sem_pico,score_resiliencia,-0.008,0.0001,0.571566,False,-0.0357,0.0197,Muy débil,−
sueno_horas_noche,attr_disciplina_pct,-0.008,0.0001,0.57087,False,-0.0357,0.0197,Muy débil,−
anos_trayectoria_total,hijos_num,0.008,0.0001,0.569626,False,-0.0197,0.0358,Muy débil,+
score_exito,attr_red_pct,0.008,0.0001,0.573362,False,-0.0198,0.0357,Muy débil,+
anos_primer_millon,attr_disciplina_pct,-0.008,0.0001,0.570754,False,-0.0357,0.0197,Muy débil,−
sacrificio_amigos,attr_disciplina_pct,-0.008,0.0001,0.569332,False,-0.0358,0.0197,Muy débil,−
sacrificio_amigos,hijos_num,-0.008,0.0001,0.569844,False,-0.0358,0.0197,Muy débil,−
ejercicio_dias_sem,attr_vision_pct,0.0079,0.0001,0.576409,False,-0.0198,0.0356,Muy débil,+
empleos_generados,attr_capital_inicial_pct,-0.0078,0.0001,0.581606,False,-0.0355,0.0199,Muy débil,−
patrimonio_m_usd,attr_oportunidad_pct,0.0077,0.0001,0.58554,False,-0.02,0.0354,Muy débil,+
sacrificio_sueno,sueno_horas_noche,-0.0075,0.0001,0.596145,False,-0.0352,0.0202,Muy débil,−
sueno_horas_noche,attr_vision_pct,0.0075,0.0001,0.596636,False,-0.0202,0.0352,Muy débil,+
divorcios_num,attr_oportunidad_pct,-0.0075,0.0001,0.594826,False,-0.0352,0.0202,Muy débil,−
sacrificio_sueno,score_red_contactos,0.0073,0.0001,0.605373,False,-0.0204,0.035,Muy débil,+
sacrificio_total,empleos_generados,0.0073,0.0001,0.606289,False,-0.0204,0.035,Muy débil,+
roi_anualizado_pct,attr_disciplina_pct,-0.0073,0.0001,0.607679,False,-0.035,0.0205,Muy débil,−
attr_trabajo_duro_pct,attr_capital_inicial_pct,-0.0072,0.0001,0.610625,False,-0.0349,0.0205,Muy débil,−
empleos_generados,attr_suerte_pct,0.0071,0.0001,0.616349,False,-0.0206,0.0348,Muy débil,+
ejercicio_dias_sem,empleos_generados,-0.0071,0.0001,0.616239,False,-0.0348,0.0206,Muy débil,−
sacrificio_amigos,attr_red_pct,0.0071,0.0001,0.616437,False,-0.0206,0.0348,Muy débil,+
hijos_num,bienestar_psicologico,-0.0071,0.0001,0.616772,False,-0.0348,0.0206,Muy débil,−
sacrificio_amigos,score_conocimiento,0.007,0.0,0.620541,False,-0.0207,0.0347,Muy débil,+
divorcios_num,hijos_num,0.0069,0.0,0.62551,False,-0.0208,0.0346,Muy débil,+
anos_primer_millon,sacrificio_ocio_hobbies,0.0068,0.0,0.628732,False,-0.0209,0.0346,Muy débil,+
sacrificio_sueno,score_conocimiento,-0.0067,0.0,0.636003,False,-0.0344,0.021,Muy débil,−
anos_trayectoria_total,ejercicio_dias_sem,-0.0067,0.0,0.635289,False,-0.0344,0.021,Muy débil,−
edad_inicio,sacrificio_sueno,0.0067,0.0,0.636224,False,-0.021,0.0344,Muy débil,+
sacrificio_salud,attr_oportunidad_pct,0.0067,0.0,0.637538,False,-0.0211,0.0344,Muy débil,+
empleos_generados,attr_disciplina_pct,0.0066,0.0,0.641047,False,-0.0211,0.0343,Muy débil,+
sacrificio_total,score_conocimiento,-0.0066,0.0,0.641849,False,-0.0343,0.0211,Muy débil,−
horas_sem_pico,attr_capital_inicial_pct,-0.0066,0.0,0.638318,False,-0.0344,0.0211,Muy débil,−
anos_primer_millon,sacrificio_amor_pareja,0.0065,0.0,0.64779,False,-0.0213,0.0342,Muy débil,+
capital_inicial_usd,bienestar_psicologico,-0.0065,0.0,0.643732,False,-0.0343,0.0212,Muy débil,−
capital_inicial_usd,attr_disciplina_pct,-0.0065,0.0,0.647361,False,-0.0342,0.0213,Muy débil,−
roi_anualizado_pct,horas_sem_pico,-0.0065,0.0,0.648011,False,-0.0342,0.0213,Muy débil,−
satisfaccion_vida,attr_vision_pct,-0.0064,0.0,0.650302,False,-0.0341,0.0213,Muy débil,−
score_vision,satisfaccion_vida,-0.0064,0.0,0.6503,False,-0.0341,0.0213,Muy débil,−
roi_anualizado_pct,empleos_generados,0.0064,0.0,0.652927,False,-0.0214,0.0341,Muy débil,+
sacrificio_ocio_hobbies,attr_vision_pct,0.0064,0.0,0.648951,False,-0.0213,0.0342,Muy débil,+
capital_inicial_usd,satisfaccion_vida,0.0064,0.0,0.651436,False,-0.0213,0.0341,Muy débil,+
score_exito,attr_conocimiento_pct,0.0061,0.0,0.668272,False,-0.0217,0.0338,Muy débil,+
empleos_generados,satisfaccion_vida,-0.006,0.0,0.672482,False,-0.0337,0.0217,Muy débil,−
score_conocimiento,bienestar_psicologico,0.006,0.0,0.671026,False,-0.0217,0.0337,Muy débil,+
sacrificio_amigos,attr_trabajo_duro_pct,-0.006,0.0,0.671665,False,-0.0337,0.0217,Muy débil,−
anos_trayectoria_total,capital_inicial_usd,-0.006,0.0,0.669111,False,-0.0338,0.0217,Muy débil,−
capital_inicial_usd,sacrificio_salud,-0.006,0.0,0.671868,False,-0.0337,0.0217,Muy débil,−
score_disciplina,score_red_contactos,-0.006,0.0,0.670523,False,-0.0337,0.0217,Muy débil,−
anos_primer_millon,attr_suerte_pct,0.0059,0.0,0.678617,False,-0.0219,0.0336,Muy débil,+
patrimonio_m_usd,sacrificio_amor_pareja,0.0059,0.0,0.677785,False,-0.0218,0.0336,Muy débil,+
satisfaccion_vida,attr_conocimiento_pct,0.0058,0.0,0.679978,False,-0.0219,0.0335,Muy débil,+
sacrificio_amor_pareja,hijos_num,0.0058,0.0,0.68242,False,-0.0219,0.0335,Muy débil,+
capital_inicial_usd,ejercicio_dias_sem,-0.0058,0.0,0.681576,False,-0.0335,0.0219,Muy débil,−
empleos_generados,attr_conocimiento_pct,-0.0058,0.0,0.68281,False,-0.0335,0.0219,Muy débil,−
bienestar_psicologico,attr_oportunidad_pct,-0.0057,0.0,0.687189,False,-0.0334,0.022,Muy débil,−
sacrificio_salud,ejercicio_dias_sem,0.0057,0.0,0.689168,False,-0.0221,0.0334,Muy débil,+
sacrificio_ocio_hobbies,attr_capital_inicial_pct,-0.0056,0.0,0.694625,False,-0.0333,0.0222,Muy débil,−
roi_anualizado_pct,attr_red_pct,-0.0056,0.0,0.692554,False,-0.0333,0.0221,Muy débil,−
sacrificio_amigos,attr_suerte_pct,0.0056,0.0,0.694677,False,-0.0222,0.0333,Muy débil,+
ejercicio_dias_sem,satisfaccion_vida,-0.0055,0.0,0.699469,False,-0.0332,0.0223,Muy débil,−
score_conocimiento,score_exito,-0.0055,0.0,0.695892,False,-0.0332,0.0222,Muy débil,−
sacrificio_familia,score_disciplina,-0.0054,0.0,0.700923,False,-0.0331,0.0223,Muy débil,−
empleos_generados,attr_oportunidad_pct,-0.0054,0.0,0.700528,False,-0.0332,0.0223,Muy débil,−
capital_inicial_usd,attr_conocimiento_pct,0.0054,0.0,0.700851,False,-0.0223,0.0331,Muy débil,+
sacrificio_amor_pareja,score_conocimiento,0.0053,0.0,0.708062,False,-0.0224,0.033,Muy débil,+
score_disciplina,hijos_num,0.0053,0.0,0.707806,False,-0.0224,0.033,Muy débil,+
anos_primer_millon,ejercicio_dias_sem,-0.0053,0.0,0.706934,False,-0.033,0.0224,Muy débil,−
patrimonio_m_usd,attr_trabajo_duro_pct,-0.0052,0.0,0.714744,False,-0.0329,0.0226,Muy débil,−
score_disciplina,score_resiliencia,-0.0052,0.0,0.714172,False,-0.0329,0.0225,Muy débil,−
anos_primer_millon,sacrificio_total,0.0051,0.0,0.717165,False,-0.0226,0.0328,Muy débil,+
sueno_horas_noche,attr_red_pct,-0.0051,0.0,0.720123,False,-0.0328,0.0227,Muy débil,−
score_disciplina,score_vision,-0.0051,0.0,0.719062,False,-0.0328,0.0226,Muy débil,−
score_red_contactos,empleos_generados,-0.0051,0.0,0.71913,False,-0.0328,0.0226,Muy débil,−
score_red_contactos,score_vision,-0.0051,0.0,0.715925,False,-0.0329,0.0226,Muy débil,−
capital_inicial_usd,divorcios_num,-0.0051,0.0,0.717053,False,-0.0328,0.0226,Muy débil,−
sueno_horas_noche,satisfaccion_vida,0.005,0.0,0.725215,False,-0.0228,0.0327,Muy débil,+
score_conocimiento,score_red_contactos,-0.005,0.0,0.723276,False,-0.0327,0.0227,Muy débil,−
score_exito,attr_disciplina_pct,-0.005,0.0,0.722041,False,-0.0327,0.0227,Muy débil,−
sacrificio_amor_pareja,score_exito,0.005,0.0,0.721225,False,-0.0227,0.0328,Muy débil,+
anos_trayectoria_total,roi_anualizado_pct,0.0049,0.0,0.727183,False,-0.0228,0.0327,Muy débil,+
edad_inicio,bienestar_psicologico,0.0049,0.0,0.728194,False,-0.0228,0.0326,Muy débil,+
divorcios_num,ejercicio_dias_sem,0.0048,0.0,0.732065,False,-0.0229,0.0326,Muy débil,+
sueno_horas_noche,score_exito,0.0048,0.0,0.732496,False,-0.0229,0.0326,Muy débil,+
score_vision,attr_suerte_pct,-0.0047,0.0,0.740169,False,-0.0324,0.023,Muy débil,−
anos_primer_millon,capital_inicial_usd,-0.0047,0.0,0.737268,False,-0.0325,0.023,Muy débil,−
sacrificio_salud,score_vision,0.0047,0.0,0.741148,False,-0.0231,0.0324,Muy débil,+
edad_inicio,attr_trabajo_duro_pct,-0.0047,0.0,0.739408,False,-0.0324,0.023,Muy débil,−
hijos_num,attr_vision_pct,0.0047,0.0,0.738052,False,-0.023,0.0324,Muy débil,+
sacrificio_amor_pareja,attr_trabajo_duro_pct,-0.0046,0.0,0.744044,False,-0.0323,0.0231,Muy débil,−
anos_primer_millon,attr_capital_inicial_pct,0.0046,0.0,0.747358,False,-0.0232,0.0323,Muy débil,+
sacrificio_familia,score_vision,0.0045,0.0,0.748088,False,-0.0232,0.0323,Muy débil,+
ejercicio_dias_sem,score_exito,-0.0045,0.0,0.749976,False,-0.0322,0.0232,Muy débil,−
capital_inicial_usd,score_red_contactos,0.0045,0.0,0.748744,False,-0.0232,0.0322,Muy débil,+
sacrificio_amor_pareja,score_disciplina,-0.0045,0.0,0.751646,False,-0.0322,0.0232,Muy débil,−
roi_anualizado_pct,score_red_contactos,-0.0044,0.0,0.756206,False,-0.0321,0.0233,Muy débil,−
anos_trayectoria_total,satisfaccion_vida,-0.0044,0.0,0.755081,False,-0.0321,0.0233,Muy débil,−
sacrificio_amigos,ejercicio_dias_sem,0.0044,0.0,0.754525,False,-0.0233,0.0321,Muy débil,+
score_disciplina,bienestar_psicologico,-0.0044,0.0,0.753675,False,-0.0322,0.0233,Muy débil,−
ejercicio_dias_sem,attr_disciplina_pct,-0.0044,0.0,0.75776,False,-0.0321,0.0234,Muy débil,−
anos_primer_millon,sacrificio_amigos,-0.0043,0.0,0.759675,False,-0.032,0.0234,Muy débil,−
patrimonio_m_usd,empleos_generados,0.0043,0.0,0.758875,False,-0.0234,0.0321,Muy débil,+
roi_anualizado_pct,sacrificio_amigos,-0.0042,0.0,0.764466,False,-0.032,0.0235,Muy débil,−
hijos_num,score_exito,-0.0042,0.0,0.76848,False,-0.0319,0.0236,Muy débil,−
patrimonio_m_usd,horas_sem_pico,-0.0042,0.0,0.766005,False,-0.0319,0.0235,Muy débil,−
sacrificio_total,score_resiliencia,-0.0042,0.0,0.766483,False,-0.0319,0.0235,Muy débil,−
divorcios_num,attr_conocimiento_pct,0.0041,0.0,0.770921,False,-0.0236,0.0318,Muy débil,+
sacrificio_salud,score_resiliencia,-0.0041,0.0,0.774127,False,-0.0318,0.0237,Muy débil,−
anos_trayectoria_total,attr_conocimiento_pct,-0.004,0.0,0.77757,False,-0.0317,0.0237,Muy débil,−
edad_inicio,sacrificio_amor_pareja,0.004,0.0,0.776119,False,-0.0237,0.0317,Muy débil,+
edad_inicio,score_vision,-0.0039,0.0,0.785137,False,-0.0316,0.0239,Muy débil,−
anos_primer_millon,score_disciplina,0.0039,0.0,0.784414,False,-0.0239,0.0316,Muy débil,+
hijos_num,attr_suerte_pct,-0.0039,0.0,0.782816,False,-0.0316,0.0238,Muy débil,−
edad_inicio,anos_primer_millon,-0.0037,0.0,0.794624,False,-0.0314,0.024,Muy débil,−
patrimonio_m_usd,attr_red_pct,0.0037,0.0,0.791672,False,-0.024,0.0315,Muy débil,+
score_vision,bienestar_psicologico,0.0037,0.0,0.791085,False,-0.024,0.0315,Muy débil,+
score_resiliencia,attr_capital_inicial_pct,-0.0037,0.0,0.790962,False,-0.0315,0.024,Muy débil,−
anos_primer_millon,horas_sem_pico,-0.0035,0.0,0.807096,False,-0.0312,0.0243,Muy débil,−
sacrificio_amigos,score_resiliencia,0.0035,0.0,0.804038,False,-0.0242,0.0312,Muy débil,+
sacrificio_familia,hijos_num,0.0035,0.0,0.807263,False,-0.0243,0.0312,Muy débil,+
score_disciplina,attr_suerte_pct,0.0035,0.0,0.804787,False,-0.0242,0.0312,Muy débil,+
sacrificio_sueno,score_disciplina,0.0034,0.0,0.807463,False,-0.0243,0.0312,Muy débil,+
patrimonio_m_usd,score_disciplina,0.0034,0.0,0.807612,False,-0.0243,0.0312,Muy débil,+
score_disciplina,attr_vision_pct,-0.0034,0.0,0.811049,False,-0.0311,0.0243,Muy débil,−
sacrificio_ocio_hobbies,ejercicio_dias_sem,-0.0033,0.0,0.817735,False,-0.031,0.0245,Muy débil,−
score_vision,hijos_num,-0.0033,0.0,0.815209,False,-0.031,0.0244,Muy débil,−
score_resiliencia,satisfaccion_vida,0.0032,0.0,0.823077,False,-0.0246,0.0309,Muy débil,+
sacrificio_amor_pareja,attr_capital_inicial_pct,0.0032,0.0,0.822675,False,-0.0246,0.0309,Muy débil,+
edad_inicio,score_red_contactos,0.0032,0.0,0.819072,False,-0.0245,0.031,Muy débil,+
score_conocimiento,empleos_generados,0.003,0.0,0.831173,False,-0.0247,0.0307,Muy débil,+
score_red_contactos,score_resiliencia,-0.003,0.0,0.830939,False,-0.0307,0.0247,Muy débil,−
sacrificio_total,attr_capital_inicial_pct,-0.003,0.0,0.830173,False,-0.0308,0.0247,Muy débil,−
score_vision,divorcios_num,-0.003,0.0,0.832735,False,-0.0307,0.0247,Muy débil,−
sacrificio_familia,attr_oportunidad_pct,-0.003,0.0,0.833018,False,-0.0307,0.0247,Muy débil,−
hijos_num,attr_disciplina_pct,0.003,0.0,0.8296,False,-0.0247,0.0308,Muy débil,+
sacrificio_amor_pareja,attr_conocimiento_pct,-0.003,0.0,0.830774,False,-0.0307,0.0247,Muy débil,−
anos_primer_millon,attr_oportunidad_pct,0.0029,0.0,0.836427,False,-0.0248,0.0306,Muy débil,+
sacrificio_familia,divorcios_num,0.0028,0.0,0.845725,False,-0.025,0.0305,Muy débil,+
ejercicio_dias_sem,attr_trabajo_duro_pct,-0.0028,0.0,0.843239,False,-0.0305,0.0249,Muy débil,−
score_disciplina,attr_oportunidad_pct,0.0027,0.0,0.847998,False,-0.025,0.0304,Muy débil,+
sacrificio_ocio_hobbies,hijos_num,-0.0027,0.0,0.850381,False,-0.0304,0.0251,Muy débil,−
edad_inicio,attr_red_pct,-0.0027,0.0,0.849815,False,-0.0304,0.025,Muy débil,−
score_conocimiento,attr_red_pct,0.0027,0.0,0.851028,False,-0.0251,0.0304,Muy débil,+
sacrificio_amor_pareja,attr_oportunidad_pct,-0.0026,0.0,0.855141,False,-0.0303,0.0251,Muy débil,−
edad_inicio,patrimonio_m_usd,-0.0025,0.0,0.859673,False,-0.0302,0.0252,Muy débil,−
