var_a,var_b,pearson_r,pearson_r2,pearson_p,significativo_95,ci95_lo,ci95_hi,spearman_r,spearman_p,fuerza,direccion,abs_r
sacrificio_amigos,score_disciplina,-0.0173,0.0003,0.221744,False,-0.045,0.0104,-0.0181,0.199665,Muy débil / ruido,Negativa,0.0173
horas_sem_pico,divorcios_num,0.0172,0.0003,0.223697,False,-0.0105,0.0449,0.0124,0.379554,Muy débil / ruido,Positiva,0.0172
edad_inicio,attr_oportunidad_pct,-0.017,0.0003,0.228229,False,-0.0447,0.0107,-0.0187,0.186319,Muy débil / ruido,Negativa,0.017
score_red_contactos,attr_red_pct,0.017,0.0003,0.22967,False,-0.0107,0.0447,0.0209,0.13867,Muy débil / ruido,Positiva,0.017
bienestar_psicologico,attr_disciplina_pct,0.017,0.0003,0.228346,False,-0.0107,0.0447,0.0252,0.074355,Muy débil / ruido,Positiva,0.017
sacrificio_sueno,attr_suerte_pct,0.017,0.0003,0.229278,False,-0.0107,0.0447,0.009,0.526723,Muy débil / ruido,Positiva,0.017
divorcios_num,bienestar_psicologico,-0.0168,0.0003,0.235473,False,-0.0445,0.0109,-0.0155,0.272365,Muy débil / ruido,Negativa,0.0168
edad_inicio,empleos_generados,-0.0168,0.0003,0.235558,False,-0.0445,0.0109,0.016,0.258597,Muy débil / ruido,Negativa,0.0168
anos_primer_millon,hijos_num,0.0167,0.0003,0.237732,False,-0.011,0.0444,0.0188,0.182817,Muy débil / ruido,Positiva,0.0167
sacrificio_sueno,empleos_generados,0.0166,0.0003,0.241753,False,-0.0112,0.0443,0.0184,0.193262,Muy débil / ruido,Positiva,0.0166
score_red_contactos,attr_disciplina_pct,-0.0166,0.0003,0.24018,False,-0.0443,0.0111,-0.0119,0.398672,Muy débil / ruido,Negativa,0.0166
sacrificio_amigos,divorcios_num,0.0166,0.0003,0.241431,False,-0.0112,0.0443,0.0207,0.14375,Muy débil / ruido,Positiva,0.0166
score_exito,attr_oportunidad_pct,-0.0165,0.0003,0.243615,False,-0.0442,0.0112,-0.0098,0.488652,Muy débil / ruido,Negativa,0.0165
anos_trayectoria_total,sacrificio_amigos,0.0165,0.0003,0.242398,False,-0.0112,0.0442,0.0107,0.451137,Muy débil / ruido,Positiva,0.0165
edad_inicio,sacrificio_ocio_hobbies,-0.0165,0.0003,0.242874,False,-0.0442,0.0112,-0.0086,0.542878,Muy débil / ruido,Negativa,0.0165
horas_sem_pico,attr_conocimiento_pct,-0.0165,0.0003,0.241992,False,-0.0442,0.0112,-0.012,0.394591,Muy débil / ruido,Negativa,0.0165
anos_primer_millon,sacrificio_salud,0.0164,0.0003,0.247664,False,-0.0114,0.0441,0.0173,0.221179,Muy débil / ruido,Positiva,0.0164
score_vision,sueno_horas_noche,-0.0164,0.0003,0.247584,False,-0.0441,0.0114,-0.0232,0.100991,Muy débil / ruido,Negativa,0.0164
score_conocimiento,score_resiliencia,-0.0162,0.0003,0.251278,False,-0.0439,0.0115,-0.0148,0.29546,Muy débil / ruido,Negativa,0.0162
anos_trayectoria_total,bienestar_psicologico,-0.0162,0.0003,0.252231,False,-0.0439,0.0115,-0.0168,0.234452,Muy débil / ruido,Negativa,0.0162
edad_inicio,sacrificio_salud,-0.0162,0.0003,0.251025,False,-0.0439,0.0115,-0.0102,0.469294,Muy débil / ruido,Negativa,0.0162
patrimonio_m_usd,bienestar_psicologico,-0.0162,0.0003,0.252581,False,-0.0439,0.0115,-0.0272,0.05482,Muy débil / ruido,Negativa,0.0162
sacrificio_salud,empleos_generados,0.0161,0.0003,0.256247,False,-0.0117,0.0438,0.0203,0.150886,Muy débil / ruido,Positiva,0.0161
satisfaccion_vida,attr_disciplina_pct,0.016,0.0003,0.259272,False,-0.0118,0.0437,0.0088,0.533217,Muy débil / ruido,Positiva,0.016
score_disciplina,attr_capital_inicial_pct,0.0159,0.0003,0.261992,False,-0.0119,0.0436,0.0177,0.209922,Muy débil / ruido,Positiva,0.0159
horas_sem_pico,score_exito,0.0158,0.0003,0.263354,False,-0.0119,0.0435,0.0178,0.20741,Muy débil / ruido,Positiva,0.0158
score_disciplina,empleos_generados,-0.0157,0.0002,0.265535,False,-0.0434,0.012,-0.0126,0.371852,Muy débil / ruido,Negativa,0.0157
patrimonio_m_usd,sacrificio_salud,-0.0156,0.0002,0.270095,False,-0.0433,0.0121,0.0238,0.091893,Muy débil / ruido,Negativa,0.0156
roi_anualizado_pct,sacrificio_sueno,0.0155,0.0002,0.271779,False,-0.0122,0.0432,0.0095,0.501544,Muy débil / ruido,Positiva,0.0155
score_conocimiento,attr_vision_pct,-0.0154,0.0002,0.276507,False,-0.0431,0.0123,-0.0173,0.221565,Muy débil / ruido,Negativa,0.0154
sacrificio_amor_pareja,empleos_generados,-0.0154,0.0002,0.275306,False,-0.0431,0.0123,0.0174,0.217843,Muy débil / ruido,Negativa,0.0154
sacrificio_total,attr_conocimiento_pct,-0.0153,0.0002,0.280831,False,-0.043,0.0125,-0.0109,0.442253,Muy débil / ruido,Negativa,0.0153
sacrificio_salud,attr_disciplina_pct,-0.0153,0.0002,0.279024,False,-0.043,0.0124,-0.0159,0.26166,Muy débil / ruido,Negativa,0.0153
score_exito,attr_trabajo_duro_pct,0.0153,0.0002,0.278094,False,-0.0124,0.043,0.0175,0.215446,Muy débil / ruido,Positiva,0.0153
roi_anualizado_pct,attr_conocimiento_pct,0.0152,0.0002,0.284,False,-0.0126,0.0429,0.0184,0.194128,Muy débil / ruido,Positiva,0.0152
score_resiliencia,attr_suerte_pct,-0.0152,0.0002,0.282555,False,-0.0429,0.0125,-0.0124,0.379689,Muy débil / ruido,Negativa,0.0152
anos_primer_millon,score_resiliencia,-0.015,0.0002,0.29009,False,-0.0427,0.0128,-0.0144,0.309262,Muy débil / ruido,Negativa,0.015
satisfaccion_vida,attr_red_pct,-0.0149,0.0002,0.293345,False,-0.0426,0.0129,-0.0082,0.562914,Muy débil / ruido,Negativa,0.0149
sacrificio_familia,attr_capital_inicial_pct,0.0148,0.0002,0.29638,False,-0.013,0.0425,0.0149,0.29321,Muy débil / ruido,Positiva,0.0148
anos_trayectoria_total,sacrificio_sueno,-0.0148,0.0002,0.296873,False,-0.0425,0.013,-0.0145,0.303931,Muy débil / ruido,Negativa,0.0148
sacrificio_familia,score_red_contactos,0.0148,0.0002,0.294596,False,-0.0129,0.0425,0.0125,0.375731,Muy débil / ruido,Positiva,0.0148
hijos_num,empleos_generados,-0.0147,0.0002,0.297177,False,-0.0424,0.013,0.0004,0.974973,Muy débil / ruido,Negativa,0.0147
edad_inicio,score_resiliencia,0.0146,0.0002,0.301473,False,-0.0131,0.0423,0.0098,0.487513,Muy débil / ruido,Positiva,0.0146
sacrificio_sueno,attr_red_pct,0.0146,0.0002,0.300894,False,-0.0131,0.0423,0.009,0.526138,Muy débil / ruido,Positiva,0.0146
sacrificio_total,ejercicio_dias_sem,0.0145,0.0002,0.306855,False,-0.0133,0.0422,0.012,0.395022,Muy débil / ruido,Positiva,0.0145
horas_sem_pico,ejercicio_dias_sem,0.0144,0.0002,0.307377,False,-0.0133,0.0421,0.014,0.321999,Muy débil / ruido,Positiva,0.0144
satisfaccion_vida,attr_oportunidad_pct,-0.0143,0.0002,0.310953,False,-0.042,0.0134,-0.0089,0.527045,Muy débil / ruido,Negativa,0.0143
horas_sem_pico,score_vision,-0.0142,0.0002,0.314978,False,-0.0419,0.0135,-0.0158,0.264523,Muy débil / ruido,Negativa,0.0142
anos_trayectoria_total,sacrificio_amor_pareja,0.0142,0.0002,0.315697,False,-0.0135,0.0419,0.0117,0.409115,Muy débil / ruido,Positiva,0.0142
anos_primer_millon,roi_anualizado_pct,0.0141,0.0002,0.317595,False,-0.0136,0.0418,0.0176,0.212595,Muy débil / ruido,Positiva,0.0141
sacrificio_familia,ejercicio_dias_sem,0.014,0.0002,0.32064,False,-0.0137,0.0418,0.0159,0.261887,Muy débil / ruido,Positiva,0.014
score_resiliencia,attr_disciplina_pct,0.014,0.0002,0.322375,False,-0.0137,0.0417,0.0142,0.314791,Muy débil / ruido,Positiva,0.014
patrimonio_m_usd,hijos_num,0.014,0.0002,0.321039,False,-0.0137,0.0417,0.0041,0.772433,Muy débil / ruido,Positiva,0.014
edad_inicio,score_exito,-0.0139,0.0002,0.326563,False,-0.0416,0.0138,-0.0182,0.197484,Muy débil / ruido,Negativa,0.0139
edad_inicio,ejercicio_dias_sem,-0.0139,0.0002,0.326021,False,-0.0416,0.0138,-0.0127,0.371103,Muy débil / ruido,Negativa,0.0139
roi_anualizado_pct,score_disciplina,0.0139,0.0002,0.325507,False,-0.0138,0.0416,0.0119,0.401533,Muy débil / ruido,Positiva,0.0139
hijos_num,ejercicio_dias_sem,-0.0138,0.0002,0.330236,False,-0.0415,0.014,-0.0112,0.427993,Muy débil / ruido,Negativa,0.0138
anos_primer_millon,attr_vision_pct,-0.0138,0.0002,0.328217,False,-0.0415,0.0139,-0.0115,0.415594,Muy débil / ruido,Negativa,0.0138
score_resiliencia,attr_trabajo_duro_pct,0.0137,0.0002,0.331403,False,-0.014,0.0414,0.0118,0.402251,Muy débil / ruido,Positiva,0.0137
sacrificio_sueno,score_exito,0.0136,0.0002,0.335134,False,-0.0141,0.0413,0.015,0.287697,Muy débil / ruido,Positiva,0.0136
anos_primer_millon,attr_trabajo_duro_pct,0.0135,0.0002,0.339138,False,-0.0142,0.0412,0.0195,0.168014,Muy débil / ruido,Positiva,0.0135
score_disciplina,attr_disciplina_pct,-0.0135,0.0002,0.33887,False,-0.0412,0.0142,-0.0084,0.552504,Muy débil / ruido,Negativa,0.0135
capital_inicial_usd,empleos_generados,0.0133,0.0002,0.345676,False,-0.0144,0.041,-0.0188,0.182769,Muy débil / ruido,Positiva,0.0133
score_red_contactos,ejercicio_dias_sem,0.0133,0.0002,0.348096,False,-0.0145,0.041,0.0115,0.416811,Muy débil / ruido,Positiva,0.0133
score_vision,attr_disciplina_pct,0.0132,0.0002,0.350212,False,-0.0145,0.0409,0.0119,0.400318,Muy débil / ruido,Positiva,0.0132
sueno_horas_noche,attr_oportunidad_pct,0.0132,0.0002,0.351678,False,-0.0146,0.0409,0.0098,0.487364,Muy débil / ruido,Positiva,0.0132
sacrificio_sueno,attr_vision_pct,0.0131,0.0002,0.355865,False,-0.0147,0.0408,0.0128,0.364548,Muy débil / ruido,Positiva,0.0131
roi_anualizado_pct,attr_trabajo_duro_pct,0.0131,0.0002,0.354576,False,-0.0146,0.0408,0.0189,0.180428,Muy débil / ruido,Positiva,0.0131
sacrificio_familia,score_resiliencia,-0.0131,0.0002,0.355932,False,-0.0408,0.0147,-0.0147,0.298644,Muy débil / ruido,Negativa,0.0131
sacrificio_amigos,empleos_generados,0.0129,0.0002,0.361491,False,-0.0148,0.0406,0.0174,0.219209,Muy débil / ruido,Positiva,0.0129
empleos_generados,attr_trabajo_duro_pct,-0.0129,0.0002,0.360518,False,-0.0406,0.0148,-0.0068,0.629659,Muy débil / ruido,Negativa,0.0129
sacrificio_ocio_hobbies,divorcios_num,0.0128,0.0002,0.363975,False,-0.0149,0.0405,0.009,0.522524,Muy débil / ruido,Positiva,0.0128
patrimonio_m_usd,score_vision,-0.0128,0.0002,0.365843,False,-0.0405,0.0149,0.0105,0.458752,Muy débil / ruido,Negativa,0.0128
anos_trayectoria_total,attr_red_pct,0.0127,0.0002,0.369748,False,-0.015,0.0404,0.0141,0.318137,Muy débil / ruido,Positiva,0.0127
anos_trayectoria_total,score_disciplina,0.0127,0.0002,0.36747,False,-0.015,0.0405,0.014,0.321039,Muy débil / ruido,Positiva,0.0127
roi_anualizado_pct,attr_vision_pct,-0.0127,0.0002,0.370158,False,-0.0404,0.015,-0.0064,0.652321,Muy débil / ruido,Negativa,0.0127
score_resiliencia,ejercicio_dias_sem,-0.0127,0.0002,0.371046,False,-0.0404,0.0151,-0.0163,0.247741,Muy débil / ruido,Negativa,0.0127
roi_anualizado_pct,sacrificio_total,0.0126,0.0002,0.37437,False,-0.0152,0.0403,0.0055,0.699137,Muy débil / ruido,Positiva,0.0126
hijos_num,attr_capital_inicial_pct,-0.0126,0.0002,0.37179,False,-0.0403,0.0151,-0.0156,0.270677,Muy débil / ruido,Negativa,0.0126
capital_inicial_usd,attr_capital_inicial_pct,0.0126,0.0002,0.374266,False,-0.0152,0.0403,0.003,0.834362,Muy débil / ruido,Positiva,0.0126
roi_anualizado_pct,ejercicio_dias_sem,-0.0126,0.0002,0.373358,False,-0.0403,0.0151,-0.0128,0.364618,Muy débil / ruido,Negativa,0.0126
capital_inicial_usd,attr_vision_pct,-0.0124,0.0002,0.380291,False,-0.0401,0.0153,-0.0113,0.422639,Muy débil / ruido,Negativa,0.0124
score_vision,attr_capital_inicial_pct,-0.0124,0.0002,0.382473,False,-0.0401,0.0154,-0.0114,0.418758,Muy débil / ruido,Negativa,0.0124
sueno_horas_noche,attr_suerte_pct,-0.0123,0.0002,0.385223,False,-0.04,0.0154,-0.0068,0.630708,Muy débil / ruido,Negativa,0.0123
score_red_contactos,sueno_horas_noche,-0.0123,0.0002,0.38555,False,-0.04,0.0155,-0.0159,0.262065,Muy débil / ruido,Negativa,0.0123
patrimonio_m_usd,sueno_horas_noche,0.0123,0.0002,0.385929,False,-0.0155,0.04,-0.0035,0.805852,Muy débil / ruido,Positiva,0.0123
roi_anualizado_pct,score_conocimiento,-0.0121,0.0001,0.394129,False,-0.0398,0.0157,-0.0139,0.324671,Muy débil / ruido,Negativa,0.0121
score_vision,ejercicio_dias_sem,-0.012,0.0001,0.396422,False,-0.0397,0.0157,-0.0132,0.350345,Muy débil / ruido,Negativa,0.012
capital_inicial_usd,sacrificio_familia,0.012,0.0001,0.395024,False,-0.0157,0.0397,0.0283,0.045089,Muy débil / ruido,Positiva,0.012
roi_anualizado_pct,score_vision,0.012,0.0001,0.3962,False,-0.0157,0.0397,0.0156,0.270963,Muy débil / ruido,Positiva,0.012
edad_inicio,attr_suerte_pct,-0.0119,0.0001,0.398965,False,-0.0396,0.0158,-0.0136,0.336486,Muy débil / ruido,Negativa,0.0119
sacrificio_sueno,attr_capital_inicial_pct,-0.0118,0.0001,0.403106,False,-0.0395,0.0159,-0.0089,0.530399,Muy débil / ruido,Negativa,0.0118
hijos_num,satisfaccion_vida,-0.0118,0.0001,0.402525,False,-0.0395,0.0159,-0.0058,0.683718,Muy débil / ruido,Negativa,0.0118
capital_inicial_usd,score_vision,0.0118,0.0001,0.404624,False,-0.0159,0.0395,0.014,0.321582,Muy débil / ruido,Positiva,0.0118
sacrificio_salud,attr_red_pct,0.0118,0.0001,0.403395,False,-0.0159,0.0395,0.0171,0.227161,Muy débil / ruido,Positiva,0.0118
sacrificio_amor_pareja,ejercicio_dias_sem,0.0117,0.0001,0.409754,False,-0.0161,0.0394,0.0121,0.392523,Muy débil / ruido,Positiva,0.0117
attr_suerte_pct,attr_capital_inicial_pct,0.0116,0.0001,0.411117,False,-0.0161,0.0393,0.0039,0.780569,Muy débil / ruido,Positiva,0.0116
divorcios_num,attr_capital_inicial_pct,-0.0116,0.0001,0.41059,False,-0.0393,0.0161,-0.0083,0.557925,Muy débil / ruido,Negativa,0.0116
score_disciplina,attr_red_pct,-0.0115,0.0001,0.415518,False,-0.0392,0.0162,-0.0144,0.309304,Muy débil / ruido,Negativa,0.0115
ejercicio_dias_sem,attr_red_pct,-0.0115,0.0001,0.414486,False,-0.0393,0.0162,-0.0117,0.409149,Muy débil / ruido,Negativa,0.0115
sacrificio_ocio_hobbies,attr_conocimiento_pct,-0.0114,0.0001,0.421154,False,-0.0391,0.0163,-0.0097,0.493741,Muy débil / ruido,Negativa,0.0114
roi_anualizado_pct,attr_suerte_pct,-0.0114,0.0001,0.422033,False,-0.0391,0.0164,-0.0116,0.410217,Muy débil / ruido,Negativa,0.0114
anos_primer_millon,satisfaccion_vida,-0.0113,0.0001,0.426386,False,-0.039,0.0165,-0.0083,0.555283,Muy débil / ruido,Negativa,0.0113
sacrificio_ocio_hobbies,attr_oportunidad_pct,0.0113,0.0001,0.426264,False,-0.0165,0.039,0.0074,0.600244,Muy débil / ruido,Positiva,0.0113
patrimonio_m_usd,attr_capital_inicial_pct,-0.0113,0.0001,0.425701,False,-0.039,0.0165,-0.0008,0.954335,Muy débil / ruido,Negativa,0.0113
bienestar_psicologico,attr_suerte_pct,-0.0112,0.0001,0.427524,False,-0.0389,0.0165,-0.0049,0.729568,Muy débil / ruido,Negativa,0.0112
sacrificio_amigos,sueno_horas_noche,-0.0111,0.0001,0.431771,False,-0.0388,0.0166,-0.0181,0.201445,Muy débil / ruido,Negativa,0.0111
anos_primer_millon,empleos_generados,-0.0111,0.0001,0.431307,False,-0.0388,0.0166,0.002,0.885195,Muy débil / ruido,Negativa,0.0111
edad_inicio,attr_vision_pct,0.0111,0.0001,0.432579,False,-0.0166,0.0388,0.0123,0.382649,Muy débil / ruido,Positiva,0.0111
edad_inicio,sueno_horas_noche,-0.0109,0.0001,0.441502,False,-0.0386,0.0168,-0.0092,0.51588,Muy débil / ruido,Negativa,0.0109
sacrificio_salud,attr_conocimiento_pct,-0.0109,0.0001,0.442017,False,-0.0386,0.0169,-0.0099,0.485811,Muy débil / ruido,Negativa,0.0109
empleos_generados,bienestar_psicologico,-0.0109,0.0001,0.440623,False,-0.0386,0.0168,-0.0235,0.097189,Muy débil / ruido,Negativa,0.0109
capital_inicial_usd,sacrificio_amigos,0.0109,0.0001,0.43929,False,-0.0168,0.0386,0.0136,0.336253,Muy débil / ruido,Positiva,0.0109
score_disciplina,sueno_horas_noche,-0.0109,0.0001,0.440197,False,-0.0386,0.0168,-0.0086,0.543198,Muy débil / ruido,Negativa,0.0109
score_disciplina,ejercicio_dias_sem,0.0109,0.0001,0.439275,False,-0.0168,0.0386,0.0119,0.398753,Muy débil / ruido,Positiva,0.0109
capital_inicial_usd,attr_oportunidad_pct,-0.0108,0.0001,0.443965,False,-0.0385,0.0169,-0.0064,0.651567,Muy débil / ruido,Negativa,0.0108
satisfaccion_vida,attr_trabajo_duro_pct,0.0108,0.0001,0.446423,False,-0.017,0.0385,0.0089,0.529312,Muy débil / ruido,Positiva,0.0108
score_red_contactos,divorcios_num,0.0108,0.0001,0.444226,False,-0.0169,0.0385,0.0155,0.274577,Muy débil / ruido,Positiva,0.0108
hijos_num,sueno_horas_noche,-0.0107,0.0001,0.45103,False,-0.0384,0.0171,-0.0112,0.427244,Muy débil / ruido,Negativa,0.0107
score_resiliencia,bienestar_psicologico,0.0107,0.0001,0.44911,False,-0.017,0.0384,0.015,0.290274,Muy débil / ruido,Positiva,0.0107
divorcios_num,attr_suerte_pct,-0.0106,0.0001,0.455002,False,-0.0383,0.0172,-0.0165,0.241985,Muy débil / ruido,Negativa,0.0106
sacrificio_amigos,score_red_contactos,0.0105,0.0001,0.458995,False,-0.0173,0.0382,0.0126,0.373223,Muy débil / ruido,Positiva,0.0105
score_red_contactos,hijos_num,0.0105,0.0001,0.457239,False,-0.0172,0.0382,0.0106,0.455344,Muy débil / ruido,Positiva,0.0105
score_vision,attr_vision_pct,-0.0105,0.0001,0.459437,False,-0.0382,0.0173,-0.0025,0.858032,Muy débil / ruido,Negativa,0.0105
edad_inicio,anos_trayectoria_total,-0.0105,0.0001,0.458241,False,-0.0382,0.0172,-0.0041,0.774423,Muy débil / ruido,Negativa,0.0105
sacrificio_amigos,score_vision,-0.0105,0.0001,0.459215,False,-0.0382,0.0173,-0.0119,0.402036,Muy débil / ruido,Negativa,0.0105
sacrificio_total,score_red_contactos,0.0103,0.0001,0.465795,False,-0.0174,0.038,0.006,0.669232,Muy débil / ruido,Positiva,0.0103
sacrificio_ocio_hobbies,score_conocimiento,0.0103,0.0001,0.467822,False,-0.0175,0.038,0.0086,0.544709,Muy débil / ruido,Positiva,0.0103
anos_trayectoria_total,attr_disciplina_pct,-0.0102,0.0001,0.471634,False,-0.0379,0.0175,-0.0104,0.463989,Muy débil / ruido,Negativa,0.0102
score_resiliencia,attr_conocimiento_pct,-0.0101,0.0001,0.476087,False,-0.0378,0.0176,-0.0038,0.78769,Muy débil / ruido,Negativa,0.0101
sueno_horas_noche,attr_capital_inicial_pct,-0.0101,0.0001,0.476636,False,-0.0378,0.0177,-0.0123,0.384059,Muy débil / ruido,Negativa,0.0101
sacrificio_total,score_disciplina,-0.0101,0.0001,0.475532,False,-0.0378,0.0176,-0.0048,0.73574,Muy débil / ruido,Negativa,0.0101
attr_vision_pct,attr_capital_inicial_pct,-0.01,0.0001,0.480185,False,-0.0377,0.0177,-0.0079,0.578908,Muy débil / ruido,Negativa,0.01
sacrificio_sueno,attr_conocimiento_pct,-0.0099,0.0001,0.484314,False,-0.0376,0.0178,-0.0033,0.817196,Muy débil / ruido,Negativa,0.0099
sacrificio_ocio_hobbies,empleos_generados,0.0099,0.0001,0.483317,False,-0.0178,0.0376,0.0035,0.802314,Muy débil / ruido,Positiva,0.0099
edad_inicio,sacrificio_total,-0.0099,0.0001,0.483169,False,-0.0376,0.0178,-0.0093,0.510861,Muy débil / ruido,Negativa,0.0099
score_conocimiento,attr_conocimiento_pct,-0.0098,0.0001,0.489579,False,-0.0375,0.018,-0.0161,0.253631,Muy débil / ruido,Negativa,0.0098
anos_primer_millon,bienestar_psicologico,-0.0098,0.0001,0.48907,False,-0.0375,0.0179,-0.0132,0.351286,Muy débil / ruido,Negativa,0.0098
sacrificio_amigos,attr_capital_inicial_pct,0.0096,0.0001,0.495241,False,-0.0181,0.0374,0.0084,0.550921,Muy débil / ruido,Positiva,0.0096
score_disciplina,attr_conocimiento_pct,0.0096,0.0001,0.49568,False,-0.0181,0.0373,0.0176,0.213915,Muy débil / ruido,Positiva,0.0096
anos_primer_millon,sueno_horas_noche,0.0095,0.0001,0.500563,False,-0.0182,0.0372,0.0095,0.500924,Muy débil / ruido,Positiva,0.0095
patrimonio_m_usd,sacrificio_amigos,0.0095,0.0001,0.503582,False,-0.0183,0.0372,0.0129,0.361688,Muy débil / ruido,Positiva,0.0095
patrimonio_m_usd,ejercicio_dias_sem,0.0095,0.0001,0.500452,False,-0.0182,0.0372,-0.0003,0.985818,Muy débil / ruido,Positiva,0.0095
capital_inicial_usd,sacrificio_amor_pareja,-0.0095,0.0001,0.502379,False,-0.0372,0.0182,0.0053,0.705745,Muy débil / ruido,Negativa,0.0095
horas_sem_pico,hijos_num,0.0094,0.0001,0.506516,False,-0.0183,0.0371,0.006,0.672195,Muy débil / ruido,Positiva,0.0094
roi_anualizado_pct,divorcios_num,-0.0094,0.0001,0.504529,False,-0.0372,0.0183,-0.0039,0.782529,Muy débil / ruido,Negativa,0.0094
anos_trayectoria_total,horas_sem_pico,0.0093,0.0001,0.512177,False,-0.0185,0.037,0.0089,0.529788,Muy débil / ruido,Positiva,0.0093
horas_sem_pico,sueno_horas_noche,-0.0093,0.0001,0.511018,False,-0.037,0.0184,-0.0175,0.216344,Muy débil / ruido,Negativa,0.0093
score_conocimiento,attr_trabajo_duro_pct,0.0092,0.0001,0.514716,False,-0.0185,0.0369,0.0146,0.301633,Muy débil / ruido,Positiva,0.0092
sacrificio_ocio_hobbies,attr_disciplina_pct,-0.0092,0.0001,0.513879,False,-0.0369,0.0185,-0.0107,0.45059,Muy débil / ruido,Negativa,0.0092
horas_sem_pico,empleos_generados,0.0092,0.0001,0.513272,False,-0.0185,0.037,0.0222,0.116386,Muy débil / ruido,Positiva,0.0092
sacrificio_amigos,attr_vision_pct,0.0092,0.0001,0.513472,False,-0.0185,0.037,0.0061,0.668204,Muy débil / ruido,Positiva,0.0092
score_vision,attr_conocimiento_pct,0.0091,0.0001,0.520242,False,-0.0186,0.0368,0.0118,0.403859,Muy débil / ruido,Positiva,0.0091
score_red_contactos,attr_trabajo_duro_pct,0.0091,0.0001,0.521092,False,-0.0186,0.0368,-0.0012,0.933894,Muy débil / ruido,Positiva,0.0091
sacrificio_salud,attr_vision_pct,0.0091,0.0001,0.520203,False,-0.0186,0.0368,0.0112,0.42674,Muy débil / ruido,Positiva,0.0091
horas_sem_pico,score_disciplina,-0.009,0.0001,0.525442,False,-0.0367,0.0187,-0.0057,0.688834,Muy débil / ruido,Negativa,0.009
anos_trayectoria_total,score_conocimiento,0.009,0.0001,0.524867,False,-0.0187,0.0367,0.0086,0.541818,Muy débil / ruido,Positiva,0.009
score_exito,attr_capital_inicial_pct,-0.0089,0.0001,0.53034,False,-0.0366,0.0188,-0.0102,0.469165,Muy débil / ruido,Negativa,0.0089
score_red_contactos,attr_capital_inicial_pct,0.0089,0.0001,0.529174,False,-0.0188,0.0366,0.0048,0.73277,Muy débil / ruido,Positiva,0.0089
score_conocimiento,ejercicio_dias_sem,-0.0088,0.0001,0.532433,False,-0.0365,0.0189,-0.0091,0.518247,Muy débil / ruido,Negativa,0.0088
edad_inicio,divorcios_num,0.0088,0.0001,0.534719,False,-0.0189,0.0365,0.0117,0.407948,Muy débil / ruido,Positiva,0.0088
patrimonio_m_usd,sacrificio_total,0.0088,0.0001,0.533093,False,-0.0189,0.0365,0.0382,0.006879,Muy débil / ruido,Positiva,0.0088
horas_sem_pico,score_conocimiento,-0.0086,0.0001,0.545407,False,-0.0363,0.0192,-0.0077,0.585467,Muy débil / ruido,Negativa,0.0086
capital_inicial_usd,sacrificio_ocio_hobbies,-0.0086,0.0001,0.541243,False,-0.0364,0.0191,0.0023,0.869192,Muy débil / ruido,Negativa,0.0086
sacrificio_total,attr_oportunidad_pct,0.0086,0.0001,0.541345,False,-0.0191,0.0364,0.0069,0.626251,Muy débil / ruido,Positiva,0.0086
sacrificio_familia,empleos_generados,-0.0085,0.0001,0.547129,False,-0.0362,0.0192,-0.0158,0.26489,Muy débil / ruido,Negativa,0.0085
ejercicio_dias_sem,attr_capital_inicial_pct,0.0085,0.0001,0.547228,False,-0.0192,0.0362,0.0039,0.781873,Muy débil / ruido,Positiva,0.0085
sacrificio_sueno,hijos_num,0.0085,0.0001,0.547772,False,-0.0192,0.0362,0.0082,0.560035,Muy débil / ruido,Positiva,0.0085
edad_inicio,score_conocimiento,0.0085,0.0001,0.550228,False,-0.0193,0.0362,-0.0004,0.979522,Muy débil / ruido,Positiva,0.0085
score_red_contactos,attr_vision_pct,0.0085,0.0001,0.549792,False,-0.0193,0.0362,0.006,0.670011,Muy débil / ruido,Positiva,0.0085
capital_inicial_usd,horas_sem_pico,0.0085,0.0001,0.549566,False,-0.0193,0.0362,0.0164,0.245373,Muy débil / ruido,Positiva,0.0085
sacrificio_amor_pareja,score_red_contactos,0.0085,0.0001,0.547648,False,-0.0192,0.0362,0.0066,0.640956,Muy débil / ruido,Positiva,0.0085
sacrificio_sueno,divorcios_num,0.0084,0.0001,0.550852,False,-0.0193,0.0361,0.0107,0.450124,Muy débil / ruido,Positiva,0.0084
horas_sem_pico,attr_oportunidad_pct,0.0084,0.0001,0.554664,False,-0.0194,0.0361,0.007,0.618322,Muy débil / ruido,Positiva,0.0084
score_resiliencia,empleos_generados,-0.0084,0.0001,0.554059,False,-0.0361,0.0194,-0.0034,0.809678,Muy débil / ruido,Negativa,0.0084
score_red_contactos,score_exito,0.0083,0.0001,0.557107,False,-0.0194,0.036,0.0095,0.503704,Muy débil / ruido,Positiva,0.0083
hijos_num,attr_oportunidad_pct,-0.0083,0.0001,0.555649,False,-0.036,0.0194,-0.0133,0.346534,Muy débil / ruido,Negativa,0.0083
divorcios_num,empleos_generados,0.0082,0.0001,0.563063,False,-0.0195,0.0359,0.0029,0.839475,Muy débil / ruido,Positiva,0.0082
ejercicio_dias_sem,bienestar_psicologico,-0.0082,0.0001,0.560218,False,-0.036,0.0195,-0.0097,0.490819,Muy débil / ruido,Negativa,0.0082
